Sample_Index,IR_Value,Timestamp_ms
0,20844,0.00
1,20888,20.50
2,20656,41.00
3,20372,61.50
4,20316,82.00
5,20532,102.49
6,20528,122.99
7,20344,143.49
8,20224,163.99
9,20052,184.49
10,19832,204.99
11,19728,225.49
12,19724,245.99
13,19772,266.49
14,19688,286.99
15,19548,307.48
16,19308,327.98
17,19188,348.48
18,19136,368.98
19,19172,389.48
20,19204,409.98
21,19216,430.48
22,19220,450.98
23,19232,471.48
24,19252,491.98
25,19284,512.47
26,19328,532.97
27,19356,553.47
28,19384,573.97
29,19448,594.47
30,19596,614.97
31,19656,635.47
32,19652,655.97
33,19632,676.47
34,19572,696.97
35,19508,717.46
36,19492,737.96
37,19520,758.46
38,19544,778.96
39,19584,799.46
40,19660,819.96
41,19768,840.46
42,19864,860.96
43,19928,881.46
44,19972,901.96
45,20000,922.45
46,20040,942.95
47,20112,963.45
48,20188,983.95
49,20244,1004.45
50,20272,1024.95
51,20300,1045.45
52,20344,1065.95
53,20416,1086.45
54,20464,1106.94
55,20488,1127.44
56,20496,1147.94
57,20500,1168.44
58,20476,1188.94
59,20460,1209.44
60,20456,1229.94
61,20496,1250.44
62,20508,1270.94
63,20464,1291.44
64,20408,1311.93
65,20360,1332.43
66,20312,1352.93
67,20260,1373.43
68,20184,1393.93
69,20116,1414.43
70,20072,1434.93
71,20028,1455.43
72,19972,1475.93
73,19920,1496.43
74,19888,1516.92
75,19856,1537.42
76,19828,1557.92
77,19800,1578.42
78,19788,1598.92
79,19780,1619.42
80,19780,1639.92
81,19784,1660.42
82,19796,1680.92
83,19804,1701.42
84,19808,1721.91
85,19804,1742.41
86,19804,1762.91
87,19812,1783.41
88,19824,1803.91
89,19840,1824.41
90,19848,1844.91
91,19872,1865.41
92,19924,1885.91
93,19984,1906.40
94,20028,1926.90
95,20080,1947.40
96,20120,1967.90
97,20156,1988.40
98,20184,2008.90
99,20172,2029.40
100,20136,2049.90
101,20100,2070.40
102,20052,2090.90
103,20000,2111.39
104,19960,2131.89
105,19928,2152.39
106,19900,2172.89
107,19876,2193.39
108,19848,2213.89
109,19828,2234.39
110,19808,2254.89
111,19800,2275.39
112,19804,2295.89
113,19796,2316.38
114,19768,2336.88
115,19728,2357.38
116,19688,2377.88
117,19640,2398.38
118,19604,2418.88
119,19564,2439.38
120,19540,2459.88
121,19528,2480.38
122,19520,2500.88
123,19512,2521.37
124,19500,2541.87
125,19488,2562.37
126,19480,2582.87
127,19472,2603.37
128,19464,2623.87
129,19456,2644.37
130,19452,2664.87
131,19444,2685.37
132,19440,2705.87
133,19436,2726.36
134,19432,2746.86
135,19428,2767.36
136,19424,2787.86
137,19416,2808.36
138,19408,2828.86
139,19412,2849.36
140,19412,2869.86
141,19416,2890.36
142,19420,2910.85
143,19416,2931.35
144,19404,2951.85
145,19384,2972.35
146,19356,2992.85
147,19324,3013.35
148,19296,3033.85
149,19280,3054.35
150,19276,3074.85
151,19276,3095.35
152,19272,3115.84
153,19276,3136.34
154,19284,3156.84
155,19288,3177.34
156,19296,3197.84
157,19300,3218.34
158,19304,3238.84
159,19304,3259.34
160,19304,3279.84
161,19308,3300.34
162,19312,3320.83
163,19312,3341.33
164,19316,3361.83
165,19324,3382.33
166,19332,3402.83
167,19336,3423.33
168,19348,3443.83
169,19356,3464.33
170,19360,3484.83
171,19364,3505.33
172,19368,3525.82
173,19372,3546.32
174,19372,3566.82
175,19368,3587.32
176,19356,3607.82
177,19332,3628.32
178,19304,3648.82
179,19276,3669.32
180,19256,3689.82
181,19244,3710.32
182,19240,3730.81
183,19236,3751.31
184,19244,3771.81
185,19248,3792.31
186,19260,3812.81
187,19272,3833.31
188,19280,3853.81
189,19284,3874.31
190,19280,3894.81
191,19280,3915.30
192,19280,3935.80
193,19276,3956.30
194,19280,3976.80
195,19280,3997.30
196,19288,4017.80
197,19296,4038.30
198,19300,4058.80
199,19308,4079.30
200,19312,4099.80
201,19316,4120.29
202,19320,4140.79
203,19320,4161.29
204,19320,4181.79
205,19320,4202.29
206,19312,4222.79
207,19304,4243.29
208,19284,4263.79
209,19252,4284.29
210,19216,4304.79
211,19184,4325.28
212,19164,4345.78
213,19152,4366.28
214,19148,4386.78
215,19152,4407.28
216,19156,4427.78
217,19168,4448.28
218,19188,4468.78
219,19192,4489.28
220,19196,4509.78
221,19196,4530.27
222,19196,4550.77
223,19200,4571.27
224,19204,4591.77
225,19208,4612.27
226,19212,4632.77
227,19220,4653.27
228,19236,4673.77
229,19244,4694.27
230,19264,4714.76
231,19280,4735.26
232,19296,4755.76
233,19312,4776.26
234,19328,4796.76
235,19348,4817.26
236,19356,4837.76
237,19352,4858.26
238,19336,4878.76
239,19320,4899.26
240,19296,4919.75
241,19284,4940.25
242,19276,4960.75
243,19276,4981.25
244,19280,5001.75
245,19280,5022.25
246,19284,5042.75
247,19288,5063.25
248,19292,5083.75
249,19296,5104.25
250,19296,5124.74
251,19296,5145.24
252,19292,5165.74
253,19292,5186.24
254,19288,5206.74
255,19288,5227.24
256,19288,5247.74
257,19292,5268.24
258,19300,5288.74
259,19304,5309.24
260,19308,5329.73
261,19312,5350.23
262,19316,5370.73
263,19320,5391.23
264,19324,5411.73
265,19324,5432.23
266,19312,5452.73
267,19296,5473.23
268,19276,5493.73
269,19260,5514.23
270,19256,5534.72
271,19252,5555.22
272,19260,5575.72
273,19272,5596.22
274,19284,5616.72
275,19292,5637.22
276,19304,5657.72
277,19316,5678.22
278,19320,5698.72
279,19320,5719.21
280,19316,5739.71
281,19320,5760.21
282,19312,5780.71
283,19316,5801.21
284,19312,5821.71
285,19316,5842.21
286,19316,5862.71
287,19320,5883.21
288,19320,5903.71
289,19324,5924.20
290,19328,5944.70
291,19336,5965.20
292,19340,5985.70
293,19336,6006.20
294,19320,6026.70
295,19296,6047.20
296,19272,6067.70
297,19248,6088.20
298,19232,6108.70
299,19220,6129.19
300,19228,6149.69
301,19236,6170.19
302,19248,6190.69
303,19264,6211.19
304,19280,6231.69
305,19292,6252.19
306,19296,6272.69
307,19300,6293.19
308,19304,6313.69
309,19300,6334.18
310,19304,6354.68
311,19308,6375.18
312,19316,6395.68
313,19316,6416.18
314,19324,6436.68
315,19332,6457.18
316,19340,6477.68
317,19348,6498.18
318,19356,6518.68
319,19360,6539.17
320,19368,6559.67
321,19376,6580.17
322,19388,6600.67
323,19388,6621.17
324,19380,6641.67
325,19360,6662.17
326,19340,6682.67
327,19320,6703.17
328,19308,6723.66
329,19312,6744.16
330,19312,6764.66
331,19316,6785.16
332,19328,6805.66
333,19340,6826.16
334,19348,6846.66
335,19352,6867.16
336,19356,6887.66
337,19360,6908.16
338,19364,6928.65
339,19360,6949.15
340,19360,6969.65
341,19360,6990.15
342,19364,7010.65
343,19372,7031.15
344,19372,7051.65
345,19380,7072.15
346,19392,7092.65
347,19396,7113.15
348,19408,7133.64
349,19420,7154.14
350,19424,7174.64
351,19428,7195.14
352,19436,7215.64
353,19448,7236.14
354,19460,7256.64
355,19468,7277.14
356,19460,7297.64
357,19452,7318.14
358,19436,7338.63
359,19420,7359.13
360,19408,7379.63
361,19404,7400.13
362,19404,7420.63
363,19408,7441.13
364,19416,7461.63
365,19420,7482.13
366,19432,7502.63
