Sample_Index,IR_Value,Timestamp_ms
0,20432,0.00
1,20132,20.79
2,19944,41.59
3,19932,62.38
4,20252,83.17
5,20836,103.96
6,21612,124.76
7,22260,145.55
8,22792,166.34
9,23196,187.14
10,23468,207.93
11,23608,228.72
12,23684,249.52
13,23724,270.31
14,23768,291.10
15,23816,311.89
16,23876,332.69
17,23940,353.48
18,23980,374.27
19,23960,395.07
20,23876,415.86
21,23796,436.65
22,23744,457.44
23,23708,478.24
24,23652,499.03
25,23608,519.82
26,23600,540.62
27,23596,561.41
28,23588,582.20
29,23584,602.99
30,23584,623.79
31,23592,644.58
32,23604,665.37
33,23612,686.17
34,23616,706.96
35,23616,727.75
36,23584,748.55
37,23544,769.34
38,23540,790.13
39,23552,810.92
40,23552,831.72
41,23540,852.51
42,23544,873.30
43,23536,894.10
44,23496,914.89
45,23448,935.68
46,23412,956.47
47,23384,977.27
48,23364,998.06
49,23352,1018.85
50,23348,1039.65
51,23352,1060.44
52,23352,1081.23
53,23352,1102.03
54,23356,1122.82
55,23364,1143.61
56,23368,1164.40
57,23360,1185.20
58,23356,1205.99
59,23340,1226.78
60,23336,1247.58
61,23332,1268.37
62,23328,1289.16
63,23332,1309.95
64,23332,1330.75
65,23344,1351.54
66,23356,1372.33
67,23368,1393.13
68,23384,1413.92
69,23396,1434.71
70,23408,1455.50
71,23428,1476.30
72,23448,1497.09
73,23468,1517.88
74,23476,1538.68
75,23468,1559.47
76,23444,1580.26
77,23408,1601.06
78,23372,1621.85
79,23348,1642.64
80,23332,1663.43
81,23324,1684.23
82,23328,1705.02
83,23344,1725.81
84,23352,1746.61
85,23368,1767.40
86,23388,1788.19
87,23400,1808.98
88,23408,1829.78
89,23412,1850.57
90,23412,1871.36
91,23416,1892.16
92,23432,1912.95
93,23456,1933.74
94,23472,1954.54
95,23484,1975.33
96,23496,1996.12
97,23520,2016.91
98,23540,2037.71
99,23568,2058.50
100,23596,2079.29
101,23620,2100.09
102,23636,2120.88
103,23652,2141.67
104,23656,2162.46
105,23644,2183.26
106,23616,2204.05
107,23576,2224.84
108,23544,2245.64
109,23524,2266.43
110,23512,2287.22
111,23508,2308.01
112,23508,2328.81
113,23520,2349.60
114,23524,2370.39
115,23536,2391.19
116,23548,2411.98
117,23556,2432.77
118,23564,2453.57
119,23568,2474.36
120,23572,2495.15
121,23572,2515.94
122,23568,2536.74
123,23564,2557.53
124,23568,2578.32
125,23580,2599.12
126,23592,2619.91
127,23604,2640.70
128,23616,2661.49
129,23632,2682.29
130,23648,2703.08
131,23656,2723.87
132,23668,2744.67
133,23676,2765.46
134,23660,2786.25
135,23632,2807.05
136,23592,2827.84
137,23552,2848.63
138,23524,2869.42
139,23508,2890.22
140,23492,2911.01
141,23488,2931.80
142,23484,2952.60
