Sample_Index,IR_Value,Timestamp_ms
0,21448,0.00
1,21592,19.98
2,21780,39.95
3,22040,59.93
4,22340,79.91
5,22708,99.89
6,23028,119.86
7,23264,139.84
8,23436,159.82
9,23572,179.80
10,23684,199.77
11,23772,219.75
12,23840,239.73
13,23888,259.70
14,23940,279.68
15,24000,299.66
16,24040,319.64
17,24060,339.61
18,24080,359.59
19,24088,379.57
20,24092,399.55
21,24104,419.52
22,24100,439.50
23,24092,459.48
24,24104,479.45
25,24120,499.43
26,24120,519.41
27,24120,539.39
28,24112,559.36
29,24104,579.34
30,24100,599.32
31,24100,619.30
32,24100,639.27
33,24096,659.25
34,24088,679.23
35,24076,699.20
36,24060,719.18
37,24032,739.16
38,24004,759.14
39,23980,779.11
40,23964,799.09
41,23952,819.07
42,23940,839.05
43,23928,859.02
44,23916,879.00
45,23912,898.98
46,23912,918.95
47,23908,938.93
48,23904,958.91
49,23888,978.89
50,23880,998.86
51,23864,1018.84
52,23852,1038.82
53,23840,1058.80
54,23836,1078.77
55,23836,1098.75
56,23824,1118.73
57,23816,1138.71
58,23820,1158.68
59,23816,1178.66
60,23812,1198.64
61,23808,1218.61
62,23804,1238.59
63,23804,1258.57
64,23804,1278.55
65,23800,1298.52
66,23800,1318.50
67,23800,1338.48
68,23796,1358.46
69,23796,1378.43
70,23788,1398.41
71,23784,1418.39
72,23768,1438.36
73,23744,1458.34
74,23704,1478.32
75,23668,1498.30
76,23640,1518.27
77,23612,1538.25
78,23596,1558.23
79,23588,1578.21
80,23572,1598.18
81,23564,1618.16
82,23564,1638.14
83,23564,1658.11
84,23564,1678.09
85,23560,1698.07
86,23560,1718.05
87,23556,1738.02
88,23544,1758.00
89,23532,1777.98
90,23520,1797.96
91,23512,1817.93
92,23504,1837.91
93,23508,1857.89
94,23504,1877.86
95,23504,1897.84
96,23500,1917.82
97,23492,1937.80
98,23492,1957.77
99,23496,1977.75
100,23500,1997.73
101,23500,2017.71
102,23504,2037.68
103,23504,2057.66
104,23504,2077.64
105,23512,2097.61
106,23516,2117.59
107,23516,2137.57
108,23508,2157.55
109,23500,2177.52
110,23472,2197.50
111,23432,2217.48
112,23408,2237.46
113,23384,2257.43
114,23368,2277.41
115,23360,2297.39
116,23352,2317.36
117,23344,2337.34
118,23336,2357.32
119,23328,2377.30
120,23324,2397.27
121,23320,2417.25
122,23320,2437.23
123,23316,2457.21
124,23312,2477.18
125,23304,2497.16
126,23300,2517.14
127,23292,2537.11
128,23288,2557.09
129,23288,2577.07
130,23284,2597.05
131,23284,2617.02
132,23284,2637.00
133,23284,2656.98
134,23288,2676.96
135,23288,2696.93
136,23292,2716.91
137,23296,2736.89
138,23296,2756.86
139,23300,2776.84
140,23304,2796.82
141,23308,2816.80
142,23312,2836.77
143,23312,2856.75
144,23308,2876.73
145,23288,2896.71
146,23260,2916.68
147,23212,2936.66
148,23168,2956.64
149,23128,2976.61
150,23100,2996.59
151,23080,3016.57
152,23068,3036.55
153,23056,3056.52
154,23056,3076.50
