Sample_Index,IR_Value,Timestamp_ms
0,18968,0.00
1,19316,19.97
2,19580,39.95
3,19604,59.92
4,19440,79.90
5,19280,99.87
6,19532,119.85
7,20084,139.82
8,20696,159.80
9,21376,179.77
10,22040,199.75
11,22616,219.72
12,23080,239.70
13,23396,259.67
14,23616,279.64
15,23792,299.62
16,23924,319.59
17,24016,339.57
18,24088,359.54
19,24140,379.52
20,24180,399.49
21,24212,419.47
22,24232,439.44
23,24240,459.42
24,24220,479.39
25,24156,499.37
26,24060,519.34
27,23928,539.31
28,23780,559.29
29,23676,579.26
30,23592,599.24
31,23500,619.21
32,23416,639.19
33,23324,659.16
34,23180,679.14
35,22984,699.11
36,22764,719.09
37,22560,739.06
38,22412,759.04
39,22320,779.01
40,22276,798.98
41,22264,818.96
42,22260,838.93
43,22280,858.91
44,22300,878.88
45,22316,898.86
46,22324,918.83
47,22328,938.81
48,22320,958.78
49,22316,978.76
50,22316,998.73
51,22324,1018.71
52,22324,1038.68
53,22324,1058.65
54,22332,1078.63
55,22348,1098.60
56,22372,1118.58
57,22396,1138.55
58,22420,1158.53
59,22444,1178.50
60,22468,1198.48
61,22496,1218.45
62,22516,1238.43
63,22544,1258.40
64,22556,1278.38
65,22568,1298.35
66,22580,1318.32
67,22600,1338.30
68,22620,1358.27
69,22636,1378.25
70,22644,1398.22
71,22664,1418.20
72,22676,1438.17
73,22692,1458.15
74,22704,1478.12
75,22720,1498.10
76,22696,1518.07
77,22604,1538.05
78,22488,1558.02
79,22352,1577.99
80,22252,1597.97
81,22212,1617.94
82,22212,1637.92
83,22236,1657.89
84,22260,1677.87
85,22272,1697.84
86,22300,1717.82
87,22328,1737.79
88,22360,1757.77
89,22384,1777.74
90,22388,1797.72
91,22384,1817.69
92,22388,1837.67
93,22392,1857.64
94,22404,1877.61
95,22412,1897.59
96,22432,1917.56
97,22448,1937.54
98,22468,1957.51
99,22488,1977.49
100,22516,1997.46
101,22532,2017.44
102,22552,2037.41
103,22568,2057.39
104,22596,2077.36
105,22620,2097.34
106,22644,2117.31
107,22664,2137.28
108,22684,2157.26
109,22700,2177.23
110,22716,2197.21
111,22728,2217.18
112,22740,2237.16
113,22756,2257.13
114,22768,2277.11
115,22788,2297.08
116,22800,2317.06
117,22820,2337.03
118,22808,2357.01
119,22732,2376.98
120,22608,2396.95
121,22472,2416.93
122,22356,2436.90
123,22288,2456.88
124,22280,2476.85
125,22296,2496.83
126,22324,2516.80
127,22352,2536.78
128,22392,2556.75
129,22428,2576.73
130,22464,2596.70
131,22484,2616.68
132,22496,2636.65
133,22492,2656.62
134,22484,2676.60
135,22476,2696.57
136,22480,2716.55
137,22484,2736.52
138,22492,2756.50
139,22500,2776.47
140,22520,2796.45
141,22540,2816.42
142,22568,2836.40
143,22592,2856.37
144,22612,2876.35
145,22628,2896.32
146,22640,2916.29
147,22656,2936.27
148,22672,2956.24
149,22692,2976.22
150,22712,2996.19
151,22720,3016.17
152,22732,3036.14
153,22740,3056.12
154,22752,3076.09
155,22768,3096.07
156,22776,3116.04
157,22792,3136.02
158,22804,3155.99
159,22780,3175.96
160,22704,3195.94
161,22588,3215.91
162,22464,3235.89
163,22364,3255.86
164,22308,3275.84
165,22292,3295.81
166,22304,3315.79
167,22336,3335.76
168,22372,3355.74
169,22412,3375.71
170,22452,3395.69
171,22484,3415.66
172,22504,3435.63
173,22512,3455.61
174,22504,3475.58
175,22492,3495.56
176,22480,3515.53
177,22468,3535.51
178,22464,3555.48
179,22468,3575.46
180,22484,3595.43
181,22500,3615.41
182,22516,3635.38
183,22532,3655.36
184,22544,3675.33
185,22560,3695.30
186,22576,3715.28
187,22596,3735.25
188,22604,3755.23
189,22616,3775.20
190,22620,3795.18
191,22632,3815.15
192,22636,3835.13
193,22648,3855.10
194,22660,3875.08
195,22648,3895.05
196,22588,3915.03
197,22484,3935.00
198,22368,3954.97
199,22276,3974.95
200,22220,3994.92
201,22192,4014.90
202,22196,4034.87
203,22228,4054.85
204,22268,4074.82
205,22304,4094.80
206,22344,4114.77
207,22376,4134.75
208,22384,4154.72
209,22392,4174.70
210,22388,4194.67
211,22372,4214.64
212,22352,4234.62
213,22328,4254.59
214,22312,4274.57
215,22308,4294.54
216,22308,4314.52
217,22316,4334.49
218,22360,4354.47
219,22464,4374.44
220,22596,4394.42
221,22684,4414.39
222,22756,4434.37
223,22828,4454.34
224,22892,4474.31
225,22932,4494.29
226,22948,4514.26
227,22900,4534.24
228,22784,4554.21
229,22644,4574.19
230,22520,4594.16
231,22436,4614.14
232,22404,4634.11
233,22380,4654.09
234,22356,4674.06
235,22360,4694.04
236,22396,4714.01
237,22444,4733.98
238,22480,4753.96
239,22504,4773.93
240,22504,4793.91
241,22496,4813.88
242,22480,4833.86
243,22468,4853.83
244,22456,4873.81
245,22460,4893.78
246,22472,4913.76
247,22484,4933.73
248,22500,4953.71
249,22512,4973.68
250,22528,4993.66
251,22544,5013.63
252,22568,5033.60
253,22592,5053.58
254,22600,5073.55
255,22596,5093.53
256,22544,5113.50
257,22436,5133.48
258,22308,5153.45
259,22176,5173.43
260,22084,5193.40
261,22028,5213.38
262,22012,5233.35
263,22024,5253.33
264,22048,5273.30
265,22076,5293.27
266,22112,5313.25
267,22148,5333.22
268,22176,5353.20
269,22188,5373.17
270,22196,5393.15
271,22200,5413.12
272,22200,5433.10
273,22196,5453.07
274,22200,5473.05
275,22220,5493.02
276,22240,5513.00
277,22276,5532.97
278,22316,5552.94
279,22372,5572.92
280,22416,5592.89
281,22456,5612.87
282,22492,5632.84
283,22536,5652.82
284,22576,5672.79
285,22580,5692.77
286,22520,5712.74
287,22424,5732.72
288,22316,5752.69
289,22244,5772.67
290,22212,5792.64
291,22212,5812.61
292,22236,5832.59
293,22272,5852.56
294,22312,5872.54
295,22356,5892.51
296,22400,5912.49
297,22440,5932.46
298,22468,5952.44
299,22480,5972.41
300,22484,5992.39
301,22492,6012.36
302,22488,6032.34
303,22492,6052.31
304,22508,6072.28
305,22532,6092.26
306,22556,6112.23
307,22584,6132.21
308,22616,6152.18
309,22648,6172.16
310,22680,6192.13
311,22716,6212.11
312,22740,6232.08
313,22768,6252.06
314,22804,6272.03
315,22824,6292.01
316,22796,6311.98
317,22712,6331.95
318,22604,6351.93
319,22504,6371.90
320,22448,6391.88
321,22436,6411.85
322,22448,6431.83
323,22484,6451.80
324,22528,6471.78
325,22580,6491.75
326,22628,6511.73
327,22672,6531.70
328,22696,6551.68
329,22704,6571.65
330,22704,6591.62
331,22704,6611.60
332,22708,6631.57
333,22716,6651.55
334,22732,6671.52
335,22748,6691.50
336,22768,6711.47
337,22808,6731.45
338,22844,6751.42
339,22876,6771.40
340,22908,6791.37
341,22936,6811.35
342,22960,6831.32
343,22992,6851.29
344,23016,6871.27
345,23040,6891.24
346,23060,6911.22
347,23076,6931.19
348,23080,6951.17
349,23096,6971.14
350,23100,6991.12
351,23068,7011.09
352,22992,7031.07
353,22884,7051.04
354,22772,7071.02
355,22680,7090.99
356,22632,7110.96
357,22624,7130.94
358,22640,7150.91
359,22672,7170.89
360,22704,7190.86
361,22736,7210.84
362,22772,7230.81
