Sample_Index,IR_Value,Timestamp_ms
0,21196,0.00
1,21236,19.98
2,21228,39.95
3,21344,59.93
4,21588,79.91
5,21860,99.88
6,22088,119.86
7,22236,139.83
8,22340,159.81
9,22436,179.79
10,22516,199.76
11,22576,219.74
12,22604,239.72
13,22596,259.69
14,22580,279.67
15,22568,299.64
16,22556,319.62
17,22552,339.60
18,22548,359.57
19,22544,379.55
20,22540,399.53
21,22552,419.50
22,22580,439.48
23,22616,459.45
24,22656,479.43
25,22696,499.41
26,22740,519.38
27,22796,539.36
28,22824,559.34
29,22796,579.31
30,22700,599.29
31,22564,619.26
32,22428,639.24
33,22340,659.22
34,22308,679.19
35,22316,699.17
36,22344,719.15
37,22392,739.12
38,22456,759.10
39,22532,779.07
40,22600,799.05
41,22652,819.03
42,22684,839.00
43,22704,858.98
44,22692,878.96
45,22684,898.93
46,22672,918.91
47,22672,938.88
48,22680,958.86
49,22692,978.84
50,22708,998.81
51,22724,1018.79
52,22736,1038.77
53,22748,1058.74
54,22756,1078.72
55,22768,1098.70
56,22780,1118.67
57,22796,1138.65
58,22808,1158.62
59,22836,1178.60
60,22864,1198.58
61,22892,1218.55
62,22888,1238.53
63,22820,1258.51
64,22684,1278.48
65,22508,1298.46
66,22364,1318.43
67,22276,1338.41
68,22236,1358.39
69,22232,1378.36
70,22248,1398.34
71,22284,1418.32
72,22336,1438.29
73,22392,1458.27
74,22436,1478.24
75,22472,1498.22
76,22496,1518.20
77,22516,1538.17
78,22524,1558.15
79,22524,1578.13
80,22532,1598.10
81,22536,1618.08
82,22556,1638.05
83,22592,1658.03
84,22632,1678.01
85,22684,1697.98
86,22732,1717.96
87,22776,1737.94
88,22816,1757.91
89,22856,1777.89
90,22892,1797.86
91,22928,1817.84
92,22968,1837.82
93,23004,1857.79
94,23020,1877.77
95,22968,1897.75
96,22860,1917.72
97,22720,1937.70
98,22596,1957.68
99,22504,1977.65
100,22452,1997.63
101,22448,2017.60
102,22468,2037.58
103,22508,2057.56
104,22560,2077.53
105,22620,2097.51
106,22676,2117.49
107,22712,2137.46
108,22728,2157.44
109,22736,2177.41
110,22736,2197.39
111,22732,2217.37
112,22732,2237.34
113,22740,2257.32
114,22752,2277.30
115,22764,2297.27
116,22788,2317.25
117,22812,2337.22
118,22836,2357.20
119,22860,2377.18
120,22888,2397.15
121,22920,2417.13
122,22948,2437.11
123,22976,2457.08
124,22968,2477.06
125,22896,2497.03
126,22768,2517.01
127,22624,2536.99
128,22500,2556.96
129,22412,2576.94
130,22380,2596.92
131,22384,2616.89
132,22420,2636.87
133,22464,2656.84
134,22520,2676.82
135,22572,2696.80
136,22612,2716.77
137,22632,2736.75
138,22644,2756.73
139,22636,2776.70
140,22624,2796.68
141,22620,2816.65
142,22624,2836.63
143,22628,2856.61
144,22648,2876.58
145,22668,2896.56
146,22696,2916.54
147,22720,2936.51
148,22748,2956.49
