Sample_Index,IR_Value,Timestamp_ms
0,20248,0.00
1,20372,19.97
2,20524,39.95
3,20836,59.92
4,21208,79.89
5,21628,99.87
6,22100,119.84
7,22564,139.81
8,22816,159.79
9,22948,179.76
10,23020,199.73
11,23056,219.71
12,23092,239.68
13,23132,259.65
14,23192,279.63
15,23256,299.60
16,23328,319.57
17,23404,339.55
18,23468,359.52
19,23500,379.49
20,23524,399.47
21,23528,419.44
22,23512,439.41
23,23496,459.39
24,23480,479.36
25,23460,499.33
26,23448,519.31
27,23444,539.28
28,23452,559.25
29,23468,579.23
30,23488,599.20
31,23500,619.17
32,23520,639.15
33,23536,659.12
34,23560,679.09
35,23576,699.06
36,23596,719.04
37,23612,739.01
38,23620,758.98
39,23632,778.96
40,23620,798.93
41,23556,818.90
42,23444,838.88
43,23304,858.85
44,23172,878.82
45,23080,898.80
46,23028,918.77
47,23004,938.74
48,23004,958.72
49,23020,978.69
50,23056,998.66
51,23088,1018.64
52,23108,1038.61
53,23116,1058.58
54,23120,1078.56
55,23104,1098.53
56,23076,1118.50
57,23048,1138.48
58,23028,1158.45
59,23016,1178.42
60,23008,1198.40
61,23012,1218.37
62,23020,1238.34
63,23020,1258.32
64,23028,1278.29
65,23040,1298.26
66,23060,1318.24
67,23096,1338.21
68,23128,1358.18
69,23156,1378.16
70,23188,1398.13
71,23224,1418.10
72,23228,1438.08
73,23180,1458.05
74,23072,1478.02
75,22952,1498.00
76,22848,1517.97
77,22776,1537.94
78,22744,1557.92
79,22724,1577.89
80,22728,1597.86
81,22752,1617.84
82,22792,1637.81
83,22836,1657.78
84,22868,1677.76
85,22892,1697.73
86,22896,1717.70
87,22876,1737.68
88,22860,1757.65
89,22848,1777.62
90,22820,1797.60
91,22816,1817.57
92,22816,1837.54
93,22828,1857.52
94,22848,1877.49
95,22872,1897.46
96,22896,1917.44
97,22920,1937.41
98,22944,1957.38
99,22960,1977.36
100,22980,1997.33
101,23004,2017.30
102,23008,2037.27
103,22960,2057.25
104,22868,2077.22
105,22740,2097.19
106,22632,2117.17
107,22560,2137.14
108,22536,2157.11
109,22548,2177.09
110,22572,2197.06
111,22616,2217.03
112,22656,2237.01
113,22700,2256.98
114,22740,2276.95
115,22764,2296.93
