Sample_Index,IR_Value,Timestamp_ms
0,20572,0.00
1,20584,10.00
2,20592,20.00
3,20588,30.00
4,20584,40.00
5,20564,50.00
6,20576,60.00
7,20620,70.00
8,20648,80.00
9,20644,90.00
10,20648,100.00
11,20628,110.00
12,20596,120.00
13,20548,130.00
14,20456,140.00
15,20384,150.00
16,20380,160.00
17,20396,170.00
18,20424,180.00
19,20440,190.00
20,20468,200.00
21,20488,210.00
22,20484,220.00
23,20464,230.00
24,20468,240.00
25,20464,250.00
26,20452,260.00
27,20444,270.00
28,20432,280.00
29,20424,290.00
30,20432,300.00
31,20420,310.00
32,20352,320.00
33,20264,330.00
34,20216,340.00
35,20224,350.00
36,20244,360.00
37,20280,370.00
38,20316,380.00
39,20336,390.00
40,20352,400.00
41,20360,410.00
42,20372,420.00
43,20372,430.00
44,20388,440.00
45,20388,450.00
46,20392,460.00
47,20424,470.00
48,20424,480.00
49,20428,490.00
50,20392,500.00
51,20296,510.00
52,20228,520.00
53,20220,530.00
54,20220,540.00
55,20248,550.00
56,20296,560.00
57,20316,570.00
58,20316,580.00
59,20324,590.00
60,20336,600.00
61,20344,610.00
62,20344,620.00
63,20336,630.00
64,20332,640.00
65,20316,650.00
66,20304,660.00
67,20288,670.00
68,20244,680.00
69,20148,690.00
70,20068,700.00
71,20032,710.00
72,20032,720.00
73,20056,730.00
74,20092,740.00
75,20108,750.00
76,20124,760.00
77,20128,770.00
78,20140,780.00
79,20148,790.00
80,20144,800.00
81,20148,810.00
82,20160,820.00
83,20152,830.00
84,20148,840.00
85,20160,850.00
86,20168,860.00
87,20128,870.00
88,20064,880.00
89,20020,890.00
90,20008,900.00
91,20020,910.00
92,20044,920.00
93,20048,930.00
94,20040,940.00
95,20052,950.00
96,20060,960.00
97,20068,970.00
98,20080,980.00
99,20092,990.00
100,20092,1000.00
101,20092,1010.00
102,20096,1020.00
103,20100,1030.00
104,20096,1040.00
105,20084,1050.00
106,20020,1060.00
107,19948,1070.00
108,19936,1080.00
109,19936,1090.00
110,19960,1100.00
111,19992,1110.00
112,20024,1120.00
113,20032,1130.00
114,20056,1140.00
115,20076,1150.00
116,20096,1160.00
117,20124,1170.00
118,20140,1180.00
119,20164,1190.00
120,20196,1200.00
121,20204,1210.00
122,20200,1220.00
123,20236,1230.00
124,20232,1240.00
125,20140,1250.00
126,20084,1260.00
127,20084,1270.00
128,20084,1280.00
129,20108,1290.00
130,20132,1300.00
131,20144,1310.00
132,20160,1320.00
133,20152,1330.00
134,20156,1340.00
135,20156,1350.00
136,20160,1360.00
137,20144,1370.00
138,20144,1380.00
139,20132,1390.00
140,20124,1400.00
141,20108,1410.00
142,20104,1420.00
143,20084,1430.00
144,20000,1440.00
145,19932,1450.00
146,19916,1460.00
147,19904,1470.00
148,19920,1480.00
149,19956,1490.00
150,19964,1500.00
151,19960,1510.00
152,19976,1520.00
153,19984,1530.00
154,19992,1540.00
155,20008,1550.00
156,19996,1560.00
157,19996,1570.00
158,20004,1580.00
159,19992,1590.00
160,20008,1600.00
161,20020,1610.00
162,20008,1620.00
163,19964,1630.00
164,19892,1640.00
165,19880,1650.00
166,19888,1660.00
167,19900,1670.00
168,19932,1680.00
169,19944,1690.00
170,19948,1700.00
171,19960,1710.00
172,19952,1720.00
173,19956,1730.00
174,19948,1740.00
175,19952,1750.00
176,19956,1760.00
177,19940,1770.00
178,19932,1780.00
179,19940,1790.00
180,19944,1800.00
181,19924,1810.00
182,19888,1820.00
183,19816,1830.00
184,19792,1840.00
185,19788,1850.00
186,19796,1860.00
187,19824,1870.00
188,19836,1880.00
189,19820,1890.00
190,19824,1900.00
191,19828,1910.00
192,19832,1920.00
193,19832,1930.00
194,19844,1940.00
195,19848,1950.00
196,19848,1960.00
197,19844,1970.00
198,19848,1980.00
199,19840,1990.00
200,19840,2000.00
201,19804,2010.00
202,19736,2020.00
203,19688,2030.00
204,19684,2040.00
205,19684,2050.00
206,19720,2060.00
207,19724,2070.00
208,19720,2080.00
209,19728,2090.00
210,19724,2100.00
211,19736,2110.00
212,19756,2120.00
213,19768,2130.00
214,19776,2140.00
215,19780,2150.00
216,19780,2160.00
217,19788,2170.00
218,19792,2180.00
219,19792,2190.00
220,19772,2200.00
221,19696,2210.00
222,19660,2220.00
223,19668,2230.00
224,19668,2240.00
225,19696,2250.00
226,19716,2260.00
227,19720,2270.00
228,19740,2280.00
229,19744,2290.00
230,19752,2300.00
231,19756,2310.00
232,19748,2320.00
233,19752,2330.00
234,19748,2340.00
235,19748,2350.00
236,19748,2360.00
237,19740,2370.00
238,19740,2380.00
239,19728,2390.00
240,19660,2400.00
241,19604,2410.00
242,19600,2420.00
243,19596,2430.00
244,19612,2440.00
245,19640,2450.00
246,19636,2460.00
247,19636,2470.00
248,19636,2480.00
249,19644,2490.00
250,19648,2500.00
251,19636,2510.00
252,19640,2520.00
253,19640,2530.00
254,19632,2540.00
255,19628,2550.00
256,19632,2560.00
257,19644,2570.00
258,19636,2580.00
259,19596,2590.00
260,19540,2600.00
261,19524,2610.00
262,19516,2620.00
263,19536,2630.00
264,19572,2640.00
265,19584,2650.00
266,19592,2660.00
267,19612,2670.00
268,19616,2680.00
269,19612,2690.00
270,19604,2700.00
271,19608,2710.00
272,19616,2720.00
273,19612,2730.00
274,19612,2740.00
275,19616,2750.00
276,19632,2760.00
277,19640,2770.00
278,19616,2780.00
279,19572,2790.00
280,19540,2800.00
281,19536,2810.00
282,19564,2820.00
283,19592,2830.00
284,19608,2840.00
285,19624,2850.00
286,19628,2860.00
287,19628,2870.00
288,19640,2880.00
289,19656,2890.00
290,19652,2900.00
291,19660,2910.00
292,19672,2920.00
293,19664,2930.00
294,19668,2940.00
295,19672,2950.00
296,19672,2960.00
297,19648,2970.00
298,19596,2980.00
299,19544,2990.00
300,19524,3000.00
301,19532,3010.00
302,19540,3020.00
303,19568,3030.00
304,19580,3040.00
305,19576,3050.00
306,19596,3060.00
307,19608,3070.00
308,19604,3080.00
309,19616,3090.00
310,19620,3100.00
311,19624,3110.00
312,19628,3120.00
313,19616,3130.00
314,19620,3140.00
315,19628,3150.00
316,19624,3160.00
317,19588,3170.00
318,19520,3180.00
319,19488,3190.00
320,19484,3200.00
321,19480,3210.00
322,19504,3220.00
323,19516,3230.00
324,19528,3240.00
325,19532,3250.00
326,19540,3260.00
327,19540,3270.00
328,19556,3280.00
329,19552,3290.00
330,19552,3300.00
331,19560,3310.00
332,19560,3320.00
333,19544,3330.00
334,19540,3340.00
335,19544,3350.00
336,19516,3360.00
337,19448,3370.00
338,19408,3380.00
339,19384,3390.00
