Sample_Index,IR_Value,Timestamp_ms
0,17792,0.00
1,18928,10.00
2,18308,20.00
3,19860,30.00
4,21072,40.00
5,22108,50.00
6,22276,60.00
7,22644,70.00
8,23024,80.00
9,23356,90.00
10,23616,100.00
11,23808,110.00
12,23892,120.00
13,23944,130.00
14,23980,140.00
15,24032,150.00
16,24084,160.00
17,24132,170.00
18,24100,180.00
19,23992,190.00
20,23896,200.00
21,23908,210.00
22,23980,220.00
23,24004,230.00
24,24000,240.00
25,24004,250.00
26,24000,260.00
27,23996,270.00
28,23996,280.00
29,24008,290.00
30,24036,300.00
31,24056,310.00
32,24068,320.00
33,24072,330.00
34,24088,340.00
35,24108,350.00
36,24136,360.00
37,24164,370.00
38,24200,380.00
39,24236,390.00
40,24272,400.00
41,24316,410.00
42,24352,420.00
43,24332,430.00
44,24148,440.00
45,23896,450.00
46,23716,460.00
47,23616,470.00
48,23548,480.00
49,23500,490.00
50,23476,500.00
51,23436,510.00
52,23400,520.00
53,23368,530.00
54,23396,540.00
55,23436,550.00
56,23480,560.00
57,23544,570.00
58,23596,580.00
59,23636,590.00
60,23684,600.00
61,23736,610.00
62,23780,620.00
63,23824,630.00
64,23860,640.00
65,23900,650.00
66,23948,660.00
67,23944,670.00
68,23784,680.00
69,23572,690.00
70,23440,700.00
71,23384,710.00
72,23364,720.00
73,23376,730.00
74,23416,740.00
75,23456,750.00
76,23472,760.00
77,23488,770.00
78,23520,780.00
79,23564,790.00
80,23616,800.00
81,23660,810.00
82,23712,820.00
83,23752,830.00
84,23784,840.00
85,23816,850.00
86,23852,860.00
87,23888,870.00
88,23908,880.00
89,23808,890.00
90,23624,900.00
91,23488,910.00
92,23432,920.00
93,23416,930.00
94,23412,940.00
95,23440,950.00
96,23456,960.00
97,23452,970.00
98,23444,980.00
99,23452,990.00
100,23480,1000.00
101,23524,1010.00
102,23580,1020.00
103,23632,1030.00
104,23676,1040.00
105,23732,1050.00
106,23792,1060.00
107,23800,1070.00
108,23676,1080.00
109,23504,1090.00
110,23404,1100.00
111,23360,1110.00
112,23348,1120.00
113,23356,1130.00
114,23396,1140.00
115,23420,1150.00
116,23424,1160.00
117,23420,1170.00
118,23432,1180.00
119,23468,1190.00
120,23512,1200.00
121,23556,1210.00
122,23600,1220.00
123,23644,1230.00
124,23680,1240.00
125,23716,1250.00
126,23720,1260.00
127,23584,1270.00
128,23384,1280.00
129,23252,1290.00
130,23204,1300.00
131,23196,1310.00
132,23212,1320.00
133,23264,1330.00
134,23304,1340.00
135,23308,1350.00
136,23316,1360.00
137,23348,1370.00
138,23388,1380.00
139,23428,1390.00
140,23472,1400.00
141,23520,1410.00
142,23556,1420.00
143,23596,1430.00
144,23640,1440.00
145,23676,1450.00
146,23608,1460.00
147,23424,1470.00
148,23264,1480.00
149,23184,1490.00
150,23164,1500.00
151,23176,1510.00
152,23220,1520.00
153,23272,1530.00
154,23300,1540.00
155,23320,1550.00
156,23348,1560.00
157,23400,1570.00
158,23460,1580.00
159,23516,1590.00
160,23572,1600.00
161,23620,1610.00
162,23668,1620.00
163,23708,1630.00
164,23752,1640.00
165,23780,1650.00
166,23688,1660.00
167,23476,1670.00
168,23304,1680.00
169,23240,1690.00
170,23216,1700.00
171,23208,1710.00
172,23240,1720.00
173,23276,1730.00
174,23288,1740.00
175,23304,1750.00
176,23336,1760.00
177,23392,1770.00
178,23456,1780.00
179,23520,1790.00
180,23564,1800.00
181,23608,1810.00
182,23640,1820.00
183,23680,1830.00
184,23720,1840.00
185,23756,1850.00
186,23800,1860.00
187,23844,1870.00
188,23876,1880.00
189,23912,1890.00
190,23964,1900.00
191,24000,1910.00
192,24036,1920.00
193,24076,1930.00
194,24108,1940.00
195,24120,1950.00
196,23984,1960.00
197,23700,1970.00
198,23448,1980.00
199,23312,1990.00
200,23256,2000.00
201,23220,2010.00
202,23220,2020.00
203,23240,2030.00
204,23252,2040.00
205,23252,2050.00
206,23264,2060.00
207,23300,2070.00
208,23352,2080.00
209,23408,2090.00
210,23456,2100.00
211,23504,2110.00
212,23548,2120.00
213,23588,2130.00
214,23632,2140.00
215,23684,2150.00
216,23740,2160.00
217,23792,2170.00
218,23848,2180.00
219,23896,2190.00
220,23940,2200.00
221,23984,2210.00
222,24028,2220.00
223,24048,2230.00
224,23908,2240.00
225,23632,2250.00
226,23384,2260.00
227,23260,2270.00
228,23224,2280.00
229,23220,2290.00
230,23248,2300.00
231,23288,2310.00
232,23308,2320.00
233,23316,2330.00
234,23320,2340.00
235,23348,2350.00
236,23404,2360.00
237,23460,2370.00
238,23512,2380.00
239,23556,2390.00
240,23600,2400.00
241,23644,2410.00
242,23680,2420.00
243,23724,2430.00
244,23772,2440.00
245,23816,2450.00
246,23864,2460.00
247,23908,2470.00
248,23956,2480.00
249,23996,2490.00
250,24016,2500.00
251,23880,2510.00
252,23596,2520.00
253,23332,2530.00
254,23208,2540.00
255,23180,2550.00
256,23180,2560.00
257,23212,2570.00
258,23248,2580.00
259,23260,2590.00
260,23260,2600.00
261,23264,2610.00
262,23292,2620.00
263,23336,2630.00
264,23380,2640.00
265,23420,2650.00
266,23460,2660.00
267,23496,2670.00
268,23524,2680.00
269,23556,2690.00
270,23592,2700.00
271,23628,2710.00
272,23668,2720.00
273,23712,2730.00
274,23756,2740.00
275,23804,2750.00
276,23780,2760.00
277,23576,2770.00
278,23296,2780.00
279,23100,2790.00
280,23044,2800.00
281,23044,2810.00
282,23068,2820.00
283,23104,2830.00
284,23128,2840.00
285,23128,2850.00
286,23116,2860.00
287,23128,2870.00
288,23184,2880.00
289,23240,2890.00
290,23288,2900.00
291,23324,2910.00
292,23368,2920.00
293,23416,2930.00
294,23468,2940.00
295,23512,2950.00
296,23552,2960.00
297,23576,2970.00
298,23456,2980.00
299,23192,2990.00
300,22956,3000.00
301,22868,3010.00
302,22872,3020.00
303,22916,3030.00
304,22980,3040.00
305,23028,3050.00
306,23044,3060.00
307,23028,3070.00
308,23028,3080.00
309,23060,3090.00
310,23128,3100.00
311,23208,3110.00
312,23272,3120.00
313,23308,3130.00
314,23344,3140.00
315,23392,3150.00
316,23404,3160.00
317,23268,3170.00
318,23004,3180.00
319,22784,3190.00
320,22688,3200.00
321,22664,3210.00
322,22704,3220.00
323,22784,3230.00
324,22848,3240.00
325,22868,3250.00
326,22856,3260.00
327,22872,3270.00
328,22924,3280.00
329,22996,3290.00
330,23056,3300.00
331,23104,3310.00
332,23140,3320.00
333,23172,3330.00
334,23184,3340.00
335,23028,3350.00
336,22752,3360.00
337,22548,3370.00
338,22472,3380.00
339,22448,3390.00
340,22456,3400.00
341,22512,3410.00
342,22584,3420.00
343,22612,3430.00
344,22624,3440.00
345,22656,3450.00
346,22720,3460.00
347,22800,3470.00
348,22876,3480.00
349,22948,3490.00
350,23016,3500.00
351,23068,3510.00
352,23124,3520.00
353,23140,3530.00
354,22976,3540.00
355,22680,3550.00
356,22488,3560.00
357,22452,3570.00
